Date,Open,High,Low,Close,Adj Close,Volume
2023-08-21,9225.000000,9250.000000,9175.000000,9175.000000,8925.748047,73573000
2023-08-22,9150.000000,9325.000000,9150.000000,9300.000000,9047.352539,65664600
2023-08-23,9300.000000,9325.000000,9275.000000,9300.000000,9047.352539,63749800
2023-08-24,9250.000000,9325.000000,9200.000000,9200.000000,8950.069336,53725900
2023-08-25,9200.000000,9275.000000,9175.000000,9275.000000,9023.032227,50379000
2023-08-28,9250.000000,9250.000000,9200.000000,9200.000000,8950.069336,44423100
2023-08-29,9275.000000,9300.000000,9200.000000,9250.000000,8998.709961,45428500
2023-08-30,9300.000000,9300.000000,9200.000000,9200.000000,8950.069336,56227000
2023-08-31,9200.000000,9225.000000,9100.000000,9175.000000,8925.748047,136107200
2023-09-01,9200.000000,9275.000000,9175.000000,9225.000000,8974.389648,42152700
2023-09-04,9225.000000,9275.000000,9175.000000,9225.000000,8974.389648,40610600
2023-09-05,9250.000000,9250.000000,9200.000000,9225.000000,8974.389648,42007200
2023-09-06,9200.000000,9250.000000,9150.000000,9150.000000,8901.427734,49318400
2023-09-07,9125.000000,9175.000000,9100.000000,9175.000000,8925.748047,61405200
2023-09-08,9100.000000,9150.000000,9050.000000,9125.000000,8877.106445,80732300
2023-09-11,9075.000000,9125.000000,9075.000000,9125.000000,8877.106445,53155900
2023-09-12,9100.000000,9125.000000,9075.000000,9100.000000,8852.786133,66479000
2023-09-13,9050.000000,9075.000000,9000.000000,9075.000000,8828.464844,69490200
2023-09-14,9000.000000,9125.000000,9000.000000,9100.000000,8852.786133,112757900
2023-09-15,9050.000000,9100.000000,9000.000000,9000.000000,8755.501953,121005300
2023-09-18,9050.000000,9075.000000,9000.000000,9000.000000,8755.501953,34272200
2023-09-19,9000.000000,9075.000000,8975.000000,9075.000000,8828.464844,33325800
2023-09-20,9125.000000,9175.000000,9075.000000,9150.000000,8901.427734,54305500
2023-09-21,9125.000000,9150.000000,9075.000000,9125.000000,8877.106445,40607000
2023-09-22,9125.000000,9150.000000,9075.000000,9075.000000,8828.464844,42445300
2023-09-25,9075.000000,9075.000000,9000.000000,9000.000000,8755.501953,56132200
2023-09-26,9000.000000,9025.000000,8950.000000,8950.000000,8706.860352,73544700
2023-09-27,8900.000000,9000.000000,8875.000000,8875.000000,8633.898438,84345000
2023-09-29,8825.000000,8900.000000,8825.000000,8825.000000,8585.256836,118960000
2023-10-02,8900.000000,9100.000000,8875.000000,9075.000000,8828.464844,93663000
2023-10-03,9075.000000,9200.000000,9025.000000,9200.000000,8950.069336,98380200
